tile,cycle,errorrate
1107,-228,9.3388
1107,-229,29.0989
1107,-230,27.6596
1107,-231,26.6231
1107,-232,29.8239
1107,-233,9.4653
1107,-234,29.2507
1107,-235,27.5094
1107,-236,30.4781
1107,-237,29.7102
1107,-238,9.5843
1107,-239,29.9537
1107,-240,27.4663
1107,-241,30.1519
1107,-242,28.432
1107,-243,28.4358
1107,-244,31.1714
1107,-245,28.2477
1107,-246,28.9449
1107,-247,30.909
1107,-248,30.3619
1107,-249,30.6611
1107,-250,29.4956
1107,-251,
1108,251,
1108,-225,7.857
1108,-226,6.3025
1108,-227,7.0168
1108,-228,7.6345
1108,-229,8.4521
1108,-230,7.9565
1108,-231,9.9979
1108,-232,31.1928
1108,-233,8.9421
1108,-234,29.6282
1108,-235,30.1601
1108,-236,8.6435
1108,-237,11.2999
1108,-238,12.5141
1108,-239,31.9356
1108,-240,31.9354
1108,-241,12.9897
1108,-242,31.8296
1108,-243,31.6845
1108,-244,31.423
1108,-245,32.6145
1108,-246,32.4239
1108,-247,33.4565
1108,-248,13.6633
1108,-249,34.4612
1108,-250,17.6894
1108,-251,
1109,251,
1109,-223,7.5771
1109,-224,6.6493
1109,-225,7.9866
1109,-226,6.4852
1109,-227,6.8545
1109,-228,7.6483
1109,-229,8.5471
1109,-230,7.8535
1109,-231,9.1083
1109,-232,9.3172
1109,-233,8.2711
1109,-234,13.9493
1109,-235,12.9344
1109,-236,8.9943
1109,-237,11.6583
1109,-238,8.5018
1109,-239,11.5396
1109,-240,31.3562
1109,-241,9.4966
1109,-242,12.3421
1109,-243,31.8967
1109,-244,9.615
1109,-245,12.138
1109,-246,32.3908
1109,-247,14.9331
1109,-248,17.8773
1109,-249,35.0643
1109,-250,17.6602
1109,-251,
1110,251,
1110,-219,7.5219
1110,-220,5.3845
1110,-221,6.9548
1110,-222,7.0027
1110,-223,7.2288
1110,-224,6.5189
1110,-225,7.9618
1110,-226,6.6539
1110,-227,7.5363
1110,-228,10.9081
1110,-229,31.5756
1110,-230,12.5418
1110,-231,31.8585
1110,-232,28.782
1110,-233,10.9868
1110,-234,31.9444
1110,-235,29.4405
1110,-236,31.5333
1110,-237,28.8079
1110,-238,12.0915
1110,-239,32.6777
1110,-240,29.6714
1110,-241,11.117
1110,-242,32.3738
1110,-243,29.6181
1110,-244,31.6536
1110,-245,31.1686
1110,-246,30.6495
1110,-247,32.8527
1110,-248,33.1788
1110,-249,31.4975
1110,-250,31.7554
1110,-251,
1111,251,
1111,-225,7.9749
